GATE_MW_LM: 127.1474,-1548.457,-13.28174,-1226.452,1,0
GATE_LM_MW: -2035.384,1258.052,-1337.28,983.5429,1,0
GATE_LM_ES: 314.3859,491.2281,1391.158,81.54388,1,0
LM_C09: -1378.353,555.0429,-998.7816,441.7979,1,1
LM_A01: -1688.155,557.1221,-1110.835,443.7229,1,1
LM_E02: -1689.621,906.0756,-1105.089,554.1647,1,1
LM_D09: -1754.621,1315.075,-1218.089,979.1647,1,1
LM_A16: -1216.352,662.0429,-777.7816,543.7984,1,1
LM_I01: -912.3521,647.0429,-678.7816,445.7979,1,1
LM_A15: -607.3521,651.0429,-357.7819,538.7984,1,1
LM_G01: -292.3527,507.0432,-342.7818,276.7979,1,3
LM_G02: -278.3522,154.0431,-131.7817,143.7981,1,3
LM_AI: -367.8527,563.5429,-225.2819,680.5481,0,3
LM_D07: 33.64771,404.0431,76.21811,356.7979,1,3
LM_C04: 341.2506,357.5028,186.7363,349.0325,1,4
LM_M01: 1196.143,216.6772,881.5078,217.2144,1,4
LM_M02: 1198.588,354.6773,885.5746,348.2142,1,4
LM_M04: 858.248,358.5028,630.7366,348.0325,1,4
LM_M03: 859.248,217.503,630.7377,217.0325,1,4
LM_A14: 675.248,216.503,508.7369,218.0325,1,4
LM_M06: 1032.249,219.5028,756.7372,220.0325,1,4
LM_M05: 675.2514,359.5028,508.7366,348.0325,1,4
LM_M07: 1195.249,-69.49694,884.7376,-56.96766,1,4
LM_M08: 858.4902,69.45963,634.398,84.40984,1,4
LM_M09: 674.6176,79.97014,504.5043,85.43124,1,4
LM_M10: 1028.993,68.3035,759.3168,83.11862,1,4
LM_M11: 1197.524,62.46684,884.9496,85.4043,1,4
LM_M12: 1030.124,355.4668,757.3098,349.2644,1,4
LM_M13: 674.7115,-64.68994,502.4858,-54.04942,1,4
LM_M14: 851.2115,-65.99763,635.0822,-53.37632,1,4
LM_M15: 1030.552,-66.45045,762.7615,-52.64048,1,4
LM_C10: 956.8858,384.0852,1006.408,89.88314,1,1
LM_F01: 1376.66,-360.889,1001.929,-437.1973,1,1
LM_D01: 1721.66,-760.889,1183.929,-538.1968,1,1
LM_site: 2233.246,-584.0154,1400.512,-293.4786,1,1
LM_B01: 225.6479,-1376.957,55.21789,-1121.202,1,1
LM_B02: 225.6479,-1193.957,54.21789,-916.2019,1,1
LM_B03: 267.4724,-1026.067,-19.62039,-795.0921,1,1
LM_J01: 1256.969,-1029.924,797.2364,-773.1282,1,1
LM_H01: 738.9584,-1024.988,379.317,-789.8442,1,1
LM_J03: -285.7042,-80.91995,-283.5171,-60.53024,1,1
LM_B04: -184.5276,-921.066,-324.6209,-722.0921,1,1
LM_F02: -570.3526,-759.9571,-546.7818,-678.2019,1,1
LM_D05: -870.4082,-682.3086,-664.0966,-498.6001,1,2
LM_T01: -1076.352,235.0433,-765.7816,100.798,1,2
LM_T02: -774.3526,164.0432,-649.7816,104.798,1,2
LM_T03: -794.3528,-118.9567,-668.7816,-93.20218,1,2
LM_T04: -626.3526,-400.9569,-452.7821,-346.2021,1,2
LM_T05: -1155.351,-435.9567,-787.7819,-384.2021,1,2
LM_A04: -1389.353,-209.9568,-910.7816,-206.2017,1,2
LM_G09: -1309.354,-31.95673,-907.7819,-90.20207,1,2
LM_D03: -468.3527,136.0431,-333.7821,171.7981,1,2
LM_S02: 66.04565,-758.2325,20.54525,-612.3428,1,0
LM_S03: -23.9542,-245.2327,-256.4546,-169.3425,1,0
LM_S06: -1363.353,680.0429,-864.7819,554.7984,1,0
LM_S10: -606.3521,754.0429,-349.7819,653.7981,1,0
OffScreenDen_LM: -1202.852,-142.4567,-1597.28,-130.4519,1,1
Connection: GATE_MW_LM,LM_B01,36,19,3,6,1,3
Connection: GATE_LM_MW,LM_D09,45,9,5,10,0,2
Connection: GATE_LM_ES,LM_C10,2,9,145,2,2,0
Connection: LM_C09,LM_A16,151,32,43,3,1,3
Connection: LM_C09,LM_A01,4,17,40,13,2,0
Connection: LM_C09,LM_T01,152,17,4,143,0,2
Connection: LM_A01,LM_E02,38,30,11,9,1,3
Connection: LM_E02,LM_D09,12,185,80,43,1,3
Connection: LM_A16,LM_S06,4,26,31,20,2,0
Connection: LM_A16,LM_I01,43,13,4,62,0,2
Connection: LM_I01,LM_A15,144,66,3,21,0,2
Connection: LM_A15,LM_S10,43,32,30,26,1,0
Connection: LM_A15,LM_G01,44,3,1,109,0,1
Connection: LM_G01,LM_AI,74,120,76,31,3,1
Connection: LM_G01,LM_D07,150,40,2,16,3,2
Connection: LM_G01,LM_G02,73,4,22,73,3,1
Connection: LM_G02,LM_J03,26,3,80,65,3,1
Connection: LM_D07,LM_C04,45,15,2,29,0,2
Connection: LM_C04,LM_M05,140,31,3,31,1,2
Connection: LM_M01,LM_M02,27,32,25,2,1,3
Connection: LM_M01,LM_M06,9,31,44,17,2,0
Connection: LM_M01,LM_M11,24,2,29,31,3,1
Connection: LM_M02,LM_M12,4,6,43,3,2,0
Connection: LM_M04,LM_M12,43,31,9,31,0,2
Connection: LM_M04,LM_M05,5,3,40,4,2,3
Connection: LM_M03,LM_A14,2,32,43,31,2,0
Connection: LM_M03,LM_M06,45,2,3,30,0,2
Connection: LM_A14,LM_M09,26,2,17,32,3,1
Connection: LM_M06,LM_M10,30,2,27,32,3,1
Connection: LM_M07,LM_F01,42,30,9,211,0,2
Connection: LM_M07,LM_M15,4,25,43,31,2,0
Connection: LM_M08,LM_M09,9,31,45,31,2,0
Connection: LM_M08,LM_M10,43,3,8,3,0,2
Connection: LM_M08,LM_M14,24,2,27,31,3,1
Connection: LM_M09,LM_M13,25,2,21,31,3,1
Connection: LM_M10,LM_M11,43,3,8,3,0,2
Connection: LM_M11,LM_C10,43,31,11,30,0,2
Connection: LM_M13,LM_M14,43,3,8,3,0,2
Connection: LM_M14,LM_M15,43,3,8,3,0,2
Connection: LM_F01,LM_D01,44,20,20,29,0,1
Connection: LM_D01,LM_site,138,30,2,14,1,2
Connection: LM_B01,LM_B02,43,75,43,3,1,3
Connection: LM_B02,LM_B03,21,32,58,10,1,3
Connection: LM_B03,LM_H01,139,56,5,43,0,2
Connection: LM_B03,LM_B04,4,54,142,18,2,0
Connection: LM_J01,LM_H01,4,54,139,49,2,0
Connection: LM_J03,LM_D03,4,54,38,2,2,3
Connection: LM_J03,LM_S03,143,8,16,15,0,2
Connection: LM_B04,LM_S02,142,71,17,16,1,2
Connection: LM_B04,LM_F02,15,61,96,29,2,0
Connection: LM_F02,LM_D05,5,117,45,31,1,1
Connection: LM_F02,LM_T04,18,115,10,5,1,3
Connection: LM_D05,LM_T05,26,31,88,6,1,3
Connection: LM_T01,LM_T02,38,53,4,57,0,2
Connection: LM_T01,LM_G09,22,8,93,73,3,1
Connection: LM_T02,LM_D03,145,52,2,22,0,2
Connection: LM_T02,LM_T03,71,3,80,69,3,1
Connection: LM_T03,LM_G09,2,62,98,40,2,0
Connection: LM_T03,LM_T04,134,6,26,104,3,1
Connection: LM_T05,LM_A04,17,110,45,5,1,0
Connection: LM_A04,LM_G09,2,31,12,38,1,2
