GATE_SI_CC: 2146.122,-286.2649,2151.066,-9.490257,1,0
GATE_SI_LF: -649.8752,-1309.266,-644.9338,-1032.491,0,0
SI_S03: -733.4858,-1399.459,-728.5447,-1122.685,0,0
SI_A07: 485.2018,1257.993,481.1437,622.7672,1,2
SI_A06: 486.2019,1139.994,480.1437,498.7672,1,2
SI_B04: 487.2019,955.994,478.1434,315.7672,1,2
SI_B02: 484.2019,765.9933,471.1434,126.7673,1,2
SI_C07: -943.7979,-244.007,-938.8561,32.76739,1,1
SI_C02: -931.7979,-487.0068,-926.8561,-210.2329,1,1
SI_C01: -401.7989,-495.0068,-396.8569,-218.2327,1,1
SI_C04: 84.20121,-496.0068,89.14273,-219.2327,1,1
SI_D01: 462.2015,-382.0071,467.1434,-105.2327,1,1
SI_C03: 861.2021,-314.0068,866.1439,-37.23251,1,1
SI_B01: 1274.202,-315.0068,1279.147,-38.23251,1,1
SI_A20: 1196.879,-320.7167,1201.824,-43.94221,2,1
SI_A21: 1336.879,-320.7167,1341.824,-43.94221,2,1
SI_D03: 1756.202,-301.0068,1761.147,-24.23248,1,1
SI_A17: -1096.798,-490.0068,-1091.854,-213.2329,2,1
SI_S04: -795.407,-596.2485,-790.4656,-319.4743,2,0
SI_A18: -792.7981,-493.0068,-787.8564,-216.2329,2,1
SI_C05: -943.7979,-620.0067,-938.8561,-343.2327,2,1
SI_A28: -893.7873,-860.3533,-888.8456,-583.5787,2,1
SI_A27: 460.2015,-427.0068,465.1434,-150.2327,2,1
SI_S05: 350.5916,-430.2485,355.5334,-153.4744,2,0
SI_C06: 554.2021,-553.0068,559.1439,-276.2327,2,1
SI_B10: 405.2015,-573.0068,410.1432,-296.2329,2,1
SI_B09: 487.2021,-708.0071,492.144,-431.2326,1,1
SI_A02: 162.2013,-799.0071,167.143,-522.2326,0,1
SI_A23: -22.79822,-800.0071,-17.85682,-523.2326,0,1
SI_C08: -366.7985,-811.0071,-361.8566,-534.2326,0,1
SI_D05: -716.7981,-647.0071,-711.8564,-370.2326,0,1
SI_B11: -958.7979,-646.0071,-953.8561,-369.2326,0,1
SI_D06: -923.7979,-807.0071,-918.8561,-530.2326,0,1
SI_B12: -1314.798,-508.0068,-1309.853,-231.2329,0,1
SI_B03: -1312.798,-749.0071,-1307.853,-472.2326,0,1
SI_C09: -1315.57,-1075.876,-1310.627,-799.1022,0,1
SI_D07: -1002.869,-1136.246,-997.9274,-859.4717,0,1
SI_B13: -708.2571,-1135.9,-703.316,-859.1246,0,1
SI_SP01: 484.8459,1555.905,478.8793,764.5355,1,2
SI_A13: 485.7066,1865.477,477.4532,1056.005,1,2
SI_SP02: 484.1407,2172.8,476.7557,1199.566,1,2
SI_A09: 495.7464,2516.206,473.5193,1491.495,1,2
SI_A10: 499.8418,2753.362,470.6656,1660.485,1,2
SI_Spire6: 500.1543,3079.736,467.4988,1802.964,1,2
SI_Dishelter: 508.6957,3150,467.6087,1924.239,2,0
OffScreenDen_SI: -112.7983,322.9927,-101.8567,662.7675,1,1
Connection: GATE_SI_CC,SI_D03,2,9,192,17,2,0
Connection: GATE_SI_LF,SI_B13,11,19,48,46,1,3
Connection: GATE_SI_LF,SI_S03,11,5,32,23,3,0
Connection: SI_A07,SI_SP01,21,33,24,5,1,3
Connection: SI_A07,SI_A06,23,7,21,33,3,1
Connection: SI_A06,SI_B04,23,8,24,72,3,3
Connection: SI_B04,SI_B02,39,19,80,15,3,2
Connection: SI_B02,SI_D01,5,21,17,67,3,3
Connection: SI_C07,SI_C02,12,18,68,7,3,3
Connection: SI_C02,SI_A17,53,9,43,10,2,0
Connection: SI_C02,SI_A18,100,9,4,10,0,2
Connection: SI_C02,SI_C01,150,7,29,9,3,3
Connection: SI_C01,SI_C04,137,9,15,5,3,2
Connection: SI_C04,SI_D01,139,36,15,22,0,3
Connection: SI_C04,SI_B10,139,5,5,49,0,2
Connection: SI_D01,SI_C03,86,52,15,5,0,2
Connection: SI_D01,SI_A27,49,49,18,33,3,1
Connection: SI_D01,SI_B10,45,18,36,75,0,1
Connection: SI_C03,SI_B01,138,6,8,10,3,3
Connection: SI_B01,SI_A20,17,7,17,11,1,3
Connection: SI_B01,SI_D03,101,10,24,6,3,3
Connection: SI_A20,SI_A21,41,17,3,17,0,2
Connection: SI_A17,SI_C05,13,2,10,88,3,3
Connection: SI_S04,SI_A18,28,30,27,4,1,3
Connection: SI_A18,SI_C05,21,1,43,88,3,3
Connection: SI_C05,SI_A28,29,24,6,27,3,1
Connection: SI_A28,SI_D06,41,27,129,13,1,3
Connection: SI_A27,SI_S05,9,8,31,9,2,0
Connection: SI_A27,SI_C06,38,6,16,92,0,2
Connection: SI_C06,SI_B09,43,14,93,10,0,2
Connection: SI_B10,SI_B09,8,15,11,5,2,3
Connection: SI_B09,SI_A02,16,10,45,13,3,3
Connection: SI_A02,SI_A23,6,13,28,6,3,3
Connection: SI_A23,SI_C08,27,30,141,36,3,0
Connection: SI_C08,SI_D05,15,36,87,7,2,3
Connection: SI_C08,SI_D06,4,15,197,12,2,0
Connection: SI_D05,SI_B11,23,60,35,50,3,1
Connection: SI_D05,SI_D06,9,12,126,13,2,3
Connection: SI_B11,SI_D06,11,7,77,33,3,1
Connection: SI_D06,SI_B03,3,11,49,14,2,0
Connection: SI_B12,SI_B03,31,8,29,72,3,2
Connection: SI_B03,SI_C09,7,11,14,104,3,2
Connection: SI_C09,SI_D07,50,71,9,71,1,1
Connection: SI_D07,SI_B13,102,70,9,69,0,2
Connection: SI_SP01,SI_A13,21,104,24,27,1,1
Connection: SI_A13,SI_SP02,22,32,27,3,0,3
Connection: SI_SP02,SI_A09,27,95,22,29,1,1
Connection: SI_A09,SI_A10,23,35,25,5,0,3
Connection: SI_A10,SI_Spire6,25,32,23,5,1,0
Connection: SI_Spire6,SI_Dishelter,26,68,23,10,3,3
