GATE_SB_SL: -1523.409,-123.1548,-1335.971,-687.4778,0,0
GATE_SH_SL: 683.9601,503.9845,796.1216,1160.429,2,0
GATE_GW_SL: -2294.016,362.5323,-1613.425,297.0959,1,0
GATE_SL_IS: 716.4106,-643.1909,621.4847,-742.3201,2,0
GATE_SL_MW: 2652.193,226.6926,2102.485,71.67974,1,0
SL_S02: 752.5226,415.2855,834.7751,1065.409,2,0
SL_A08: -2204.867,250.5963,-1553.366,167.6204,1,0
SL_S07: -2321.909,250.5958,-1602.122,33.92304,1,0
SL_C12: -1895.414,258.0674,-1442.332,163.4459,1,0
SL_B02: 606.1349,303.5962,646.6341,967.6204,2,1
SL_C11: 862.2524,416.2396,934.7201,974.5352,2,1
SL_A14: 494.011,137.8528,658.5702,817.7847,2,1
SL_E03: 1054.978,85.32922,672.8553,-59.81206,2,1
SL_A02: 309.1342,296.5962,455.6342,964.6204,2,1
SL_A17: 305.1735,137.2759,456.1411,818.0809,2,1
SL_C01: 128.1344,289.5962,246.6349,866.6204,2,1
SL_A13: 179.8828,16.59606,198.0062,24.32323,1,1
SL_B01: -76.86539,363.596,42.635,913.6204,2,1
SL_F01: -1307.864,208.5967,-1124.366,81.61993,1,1
SL_C02: -474.8651,-451.4037,-721.3651,587.6204,0,1
SL_C10: -805.864,-146.4034,-595.3651,-196.3796,2,1
SL_A10: -500.8654,-244.404,-461.365,-172.3798,2,1
SL_F02: -394.8658,123.5963,-310.3648,513.6201,0,1
SL_S05: -328.7899,215.2441,-199.7456,369.0341,0,0
SL_D06: -537.8651,247.5963,-498.3648,974.6204,2,1
SL_D04: 42.13419,95.59638,52.63512,517.6201,0,1
SL_A12: 79.35664,15.59592,108.1907,-102.019,1,1
SL_H02: 1002.134,122.5966,385.6351,533.6201,0,1
SL_H03: 1948.136,192.5963,1205.633,17.62,0,1
SL_C08: -1045.864,-131.4034,-815.3643,-384.3799,1,1
SL_C05: -713.8651,-230.4039,-662.3651,-365.3799,1,1
SL_S09: -412.6904,-230.3871,-365.5216,-502.0539,1,0
SL_C04: -317.8658,-135.4037,-305.3648,-379.3799,1,1
SL_D01: -252.8658,229.5963,-276.3648,73.61993,1,1
SL_D02: -152.8659,-231.4034,-147.3648,-460.3806,1,1
SL_D03: 100.1344,-321.404,65.63481,-436.3801,1,1
SL_A07: 268.1347,-155.4037,314.6349,-353.3799,1,1
SL_A04: 143.1342,-101.4036,157.6352,-229.3799,1,1
SL_S03: 83.21008,-24.75632,-7.745714,-172.9658,2,0
SL_E01: 419.1342,-124.4033,422.635,-441.3801,1,1
SL_B04: 413.2206,491.2042,661.6351,174.62,0,1
SL_C03: 482.7841,127.0712,391.6349,87.62007,0,1
SL_A11: 303.356,-20.40388,297.1903,-139.0189,1,1
SL_A05: 570.134,-161.404,545.6352,-334.3799,1,1
SL_E02: 1038.132,-214.404,691.6349,-335.3799,1,1
SL_S08: 1334.223,-87.51211,1102.818,-209.8214,1,0
SL_C07: 1732.136,-115.4038,1269.634,-374.3799,1,1
SL_A03: -156.8659,-225.4039,-295.3648,-837.3796,0,1
SL_C06: -485.866,-227.4039,-666.3651,-829.3796,0,1
SL_S04: -530.79,-59.75583,-529.7459,-717.9659,0,0
SL_A06: -808.864,-230.4039,-810.3643,-826.3796,0,1
SL_D05: -1192.864,-232.4039,-1272.366,-821.3796,0,1
SL_S11: 1196.683,23.826,972.2475,-195.9643,2,0
SL_L01: 159.5419,-532.5719,33.01764,-614.5964,2,1
SL_L02: 631.5419,-522.5719,575.0178,-612.5964,2,1
SL_L03: 865.5422,-500.5721,702.0178,-606.5964,2,1
OffScreenDen_SL: -818.864,17.59605,-1009.365,-97.37991,1,1
Connection: GATE_SB_SL,SL_D05,36,5,5,31,3,2
Connection: GATE_SH_SL,SL_C11,45,11,5,100,0,2
Connection: GATE_SH_SL,SL_S02,36,5,17,17,3,2
Connection: GATE_GW_SL,SL_A08,36,5,9,32,3,1
Connection: GATE_SL_IS,SL_L02,11,5,22,2,3,3
Connection: GATE_SL_MW,SL_H03,2,11,409,16,2,0
Connection: SL_A08,SL_S07,4,18,29,18,2,0
Connection: SL_A08,SL_C12,47,15,2,17,0,2
Connection: SL_C12,SL_F01,143,17,6,58,0,2
Connection: SL_B02,SL_A02,12,30,35,28,3,3
Connection: SL_B02,SL_C11,104,32,5,39,3,2
Connection: SL_B02,SL_A14,31,13,23,33,3,1
Connection: SL_A14,SL_A17,2,4,44,4,2,0
Connection: SL_A14,SL_E03,40,4,5,39,0,2
Connection: SL_E03,SL_H03,230,65,255,4,1,3
Connection: SL_E03,SL_S11,173,44,22,17,3,1
Connection: SL_E03,SL_L03,63,13,79,28,3,1
Connection: SL_A02,SL_C01,10,28,40,76,3,0
Connection: SL_A02,SL_A17,7,10,8,27,3,1
Connection: SL_C01,SL_B01,9,53,42,16,3,3
Connection: SL_C01,SL_A13,24,21,16,33,3,1
Connection: SL_A13,SL_A04,16,2,28,31,3,1
Connection: SL_B01,SL_D06,4,33,194,51,2,3
