GATE_UW_SS: -288.5081,-1710.86,-184.0417,-1792.323,0,0
GATE_SS_UW: -732.7988,2175.563,-699.9074,2038.395,2,0
SS_D08: -498.429,2237.35,-569.5382,2035.902,2,1
SS_S04: -579.4144,2065.695,-562.6991,1906.167,2,0
SS_E08: -383.3557,1944.92,-453.9397,1599.522,2,1
SS_D07: -155.7986,1616.566,-458.9077,1447.396,2,0
SS_L01: 48.97167,1403.453,-13.21575,1222.938,0,5
SS_AI: 89.84438,1480.947,331.6752,1389.693,1,0
SS_E07: 57.97166,893.454,90.78428,788.9387,0,5
SS_E06: 46.97162,556.454,-121.2161,663.9387,0,1
SS_C08: 254.9716,306.4539,111.7842,383.9387,0,1
SS_A14: 1009.971,705.4535,817.7841,785.9387,0,2
SS_LAB13: 1170.972,706.4535,962.7841,784.9387,0,2
SS_A01: 1330.972,706.4535,1100.784,783.9387,0,2
SS_D02: 594.9714,529.454,425.7843,578.9387,0,2
SS_LAB8: 843.9719,582.454,671.7841,664.9387,0,2
SS_LAB1: 1007.971,585.454,821.7841,656.9387,0,2
SS_LAB2: 1169.972,581.4535,958.7841,654.9387,0,2
SS_LAB6: 1329.972,582.4535,1098.784,654.9387,0,2
SS_A17: 561.9719,347.4539,462.7845,398.9387,0,0
SS_E03: 557.9719,-24.54608,459.7843,-55.06144,0,1
SS_LAB7: 843.9714,464.454,672.7841,524.9387,0,2
SS_LAB9: 1009.972,464.454,819.7841,522.9387,0,2
SS_LAB3: 1171.972,464.4537,958.7841,521.9387,0,2
SS_LAB12: 1328.972,465.4537,1096.784,521.9387,0,2
SS_LAB11: 845.9714,344.4539,668.7841,374.9387,0,2
SS_LAB10: 1007.971,346.4539,817.7841,374.9387,0,2
SS_LAB5: 1169.972,345.4539,958.7841,374.9387,0,2
SS_LAB4: 1326.972,346.4539,1097.784,373.9387,0,2
SS_E05: 1329.156,-1.146399,1100.784,-69.06152,1,2
SS_I03: -573.0281,573.454,-460.2157,587.9387,0,3
SS_C07: -1379.028,582.454,-885.2159,679.9387,0,3
SS_C03: -1692.028,442.454,-1220.216,503.9387,0,3
SS_B02: -1201.028,211.4536,-821.2159,389.9387,0,3
SS_S05: -1045.286,275.9352,-703.2173,476.0279,0,0
SS_A16: -1694.028,218.4539,-1223.216,332.9387,0,3
SS_A03: -1687.028,111.4539,-1225.216,185.9386,0,1
SS_A15: -1656.028,3.453898,-1212.216,17.93848,0,1
SS_E02: -1196.028,-1.546069,-1023.216,12.9385,0,1
SS_A04: -1095.028,-264.5461,-747.2159,-100.0614,0,1
SS_B06: -849.0281,-315.5461,-637.2159,-136.0614,0,1
SS_A11: -598.0281,290.4539,-369.2157,272.9386,0,3
SS_D03: -613.0286,73.45365,-435.2157,16.9385,0,3
SS_D04: -536.0286,-422.5461,-380.2155,-246.0613,0,1
SS_C04: 367.9716,-404.5461,231.7839,-189.0614,0,1
SS_C06: -1648.028,-231.5462,-1218.216,-294.0613,0,1
SS_H01: -1331.028,-520.546,-1121.216,-479.0614,0,1
SS_F02: -981.0281,-822.546,-786.2159,-762.0613,0,1
SS_S02: -1078.408,-579.0705,-697.0866,-446.1481,1,0
SS_B03: -421.0284,-645.546,-255.2155,-499.0614,0,1
SS_E01: -425.0284,-819.546,-458.216,-679.0613,0,1
SS_F01: -678.0281,-1226.547,-533.2159,-1186.063,0,1
SS_C02: -430.0284,-1382.547,-244.2155,-1291.063,0,1
SS_I02: -364.028,-1063.543,-318.2157,-978.0613,0,1
SS_A10: -210.0284,-1266.547,-109.2161,-1385.063,0,1
SS_A09: -222.0282,-1377.547,-115.2161,-1512.063,0,1
SS_B01: -72.02839,-1439.547,56.78432,-1603.063,0,1
SS_A08: -62.02855,-1607.547,60.78432,-1737.063,0,1
SS_A19: -206.5759,-1606.715,-53.44905,-1738.583,0,1
SS_S01: 29.97525,-1579.773,168.5603,-1734.718,0,0
SS_B05: 365.972,-1388.547,60.78431,-1389.063,1,0
SS_D06: 682.9714,-1459.547,288.7843,-1478.063,1,1
SS_A18: 863.9714,-1285.547,468.7843,-1274.063,1,1
SS_F03: 1013.972,-993.5449,599.7841,-1279.063,1,1
SS_B04: 1019.972,-528.5465,600.7841,-764.0613,1,1
SS_S03: 1020.183,-349.8135,586.8531,-431.8457,2,0
SS_E04: 344.9716,-817.546,70.78432,-677.0613,0,1
SS_D05: 1254.972,-404.5461,753.7841,-643.0613,1,0
OffScreenDen_SS: -495.028,509.454,-139.2161,339.9386,1,1
Connection: GATE_UW_SS,SS_A19,36,19,9,7,1,3
Connection: GATE_SS_UW,SS_D08,45,9,5,10,0,2
Connection: SS_D08,SS_S04,38,8,35,25,3,1
Connection: SS_D08,SS_E08,80,43,12,185,3,1
Connection: SS_E08,SS_D07,11,9,13,32,3,1
Connection: SS_D07,SS_AI,188,5,28,33,3,1
Connection: SS_L01,SS_AI,88,127,20,33,3,1
Connection: SS_L01,SS_E07,76,10,22,187,3,1
Connection: SS_E07,SS_E06,20,8,126,31,3,1
Connection: SS_E06,SS_D02,248,31,3,74,0,2
Connection: SS_E06,SS_I03,4,18,151,55,2,0
Connection: SS_E06,SS_C08,123,3,4,30,3,1
Connection: SS_C08,SS_A17,148,31,2,18,0,2
Connection: SS_A14,SS_LAB13,43,31,9,31,0,2
Connection: SS_A14,SS_LAB1,26,2,27,31,3,1
Connection: SS_LAB13,SS_A01,43,31,2,31,0,2
Connection: SS_A01,SS_LAB6,25,2,29,31,3,1
Connection: SS_D02,SS_LAB8,101,46,4,6,0,2
Connection: SS_LAB8,SS_LAB1,45,31,9,31,0,2
Connection: SS_LAB8,SS_LAB7,25,2,29,31,3,1
Connection: SS_LAB1,SS_LAB9,26,2,27,31,3,1
Connection: SS_LAB2,SS_LAB6,43,31,9,31,0,2
Connection: SS_LAB2,SS_LAB3,26,2,27,31,3,1
Connection: SS_LAB6,SS_LAB12,26,1,27,31,3,1
Connection: SS_A17,SS_LAB7,45,31,9,31,0,2
Connection: SS_A17,SS_E03,42,2,44,184,3,1
Connection: SS_E03,SS_C04,25,2,140,31,3,1
Connection: SS_LAB7,SS_LAB9,43,3,8,3,0,2
Connection: SS_LAB7,SS_LAB11,24,2,27,31,3,1
Connection: SS_LAB3,SS_LAB12,43,3,8,3,0,2
Connection: SS_LAB3,SS_LAB5,26,2,24,32,3,1
Connection: SS_LAB12,SS_LAB4,24,2,27,32,3,1
Connection: SS_LAB11,SS_LAB10,43,3,8,3,0,2
Connection: SS_LAB10,SS_LAB5,43,31,9,31,0,2
Connection: SS_LAB5,SS_LAB4,43,31,9,31,0,2
Connection: SS_LAB4,SS_E05,8,3,3,185,2,1
