GATE_SH_UW: 3901.064,11.26902,2415.185,-325.5038,0,0
GATE_SH_SL: 2347.252,269.9068,1666.012,60.37519,1,0
GATE_HI_SH: -2648.009,600.3982,-1685.811,804.7965,1,0
SH_C11: -2494.859,457.0358,-1568.438,625.5241,1,0
SH_S03: -2578.97,492.3197,-1640.306,698.9368,1,0
SH_S05: 2261.674,159.8158,1618.151,-54.6734,1,0
SH_D01: -2118.592,356.4169,-1455.623,644.7786,1,1
SH_A25: -1779.594,310.4169,-1071.623,521.7786,1,1
SH_A13: -1649.594,411.4169,-948.6214,729.7786,1,1
SH_A14: -1478.594,414.4169,-756.6214,743.7786,1,1
SH_C02: -1148.594,413.4169,-603.6214,770.7786,1,1
SH_B08: -797.7349,349.9971,-233.6214,685.7786,1,1
SH_A11: -1627.594,304.4169,-953.6214,497.7784,1,1
SH_A15: -1515.594,201.4166,-802.6214,400.7787,1,1
SH_A12: -1480.594,317.4169,-801.6214,539.7786,1,1
SH_B09: -965.5945,218.417,-483.6214,448.7787,2,1
SH_A05: -1119.594,253.4168,-349.6214,411.7787,0,1
SH_S04: -993.0056,253.0738,-223.9617,410.1172,0,0
SH_B01: -790.5945,252.4168,-353.6214,561.7786,0,1
SH_C10: -392.5483,252.3445,-122.2224,557.8682,0,1
SH_A21: -81.59451,253.4168,206.3786,561.7786,0,1
SH_C03: -645.5945,79.41684,-379.6211,278.7784,2,1
SH_S10: -330.3475,78.88889,-38.44448,279.0694,2,0
SH_B15: -1038.548,11.34474,-492.2224,187.868,2,1
SH_B16: -1279.133,-37.63093,-716.862,197.2668,2,1
SH_C07: -1561.594,-54.58293,-839.6214,82.77823,2,1
SH_S01: -1672.594,-85.58298,-963.6214,163.7785,2,0
SH_B17: -1283.073,-158.8699,-707.414,77.60992,2,1
SH_C09: -767.5475,-155.6554,-487.2224,71.86768,2,1
SH_C01: -399.5946,49.41689,-106.6214,419.7787,1,1
SH_B06: -659.5945,-309.5831,-669.6214,-214.2213,1,1
SH_A17: -529.5945,-248.5833,-524.621,-91.22153,2,1
SH_A16: -387.5949,-153.5834,-266.6214,-52.22182,2,1
SH_A24: -353.5949,-264.5831,-419.6214,-236.2213,1,1
SH_S06: -347.1379,-347.0412,-414.4837,-375.7524,1,0
SH_B07: 785.4052,-254.5831,488.3784,-501.2217,1,1
SH_S07: 532.8625,-314.0412,200.5163,-440.7524,1,0
SH_B13: 615.4521,-418.6556,197.7776,-567.1318,1,1
SH_B11: -455.5945,-376.5831,-540.6211,-327.2216,1,1
SH_D02: -179.5949,-528.5835,-540.6215,-655.2214,1,1
SH_B10: 349.4054,-528.5835,-104.6215,-652.2214,1,1
SH_A06: -90.59451,48.41707,-161.6212,131.7785,1,1
SH_B02: 145.4051,47.41709,-29.62125,134.7785,1,1
SH_B03: 370.4055,190.4166,194.3788,142.7785,1,1
SH_C04: 524.4055,305.4169,317.3786,162.7785,1,1
SH_S02: 650.4055,209.4168,443.3786,219.7787,1,0
SH_A10: 521.4055,559.4165,320.3785,476.7784,1,1
SH_C05: 844.4055,297.4169,450.3786,76.77823,1,1
SH_E05: 1441.245,255.3284,810.4988,47.29815,1,1
SH_C13: 2047.444,254.3309,1340.596,48.58447,1,0
SH_A07: 482.4058,-69.58292,316.3786,-146.2215,1,1
SH_B04: 717.4055,-14.58287,495.3787,-112.2214,1,1
SH_A04: 1000.406,-12.58287,755.3786,-123.2214,1,1
SH_A26: 1188.626,-16.68713,883.7261,-120.4537,1,1
SH_A19: 459.4054,-180.5834,295.3786,-279.2216,1,1
SH_B05: 247.4052,-86.58287,30.37882,-140.2215,1,1
SH_C08: -83.59464,-196.5834,-304.6214,-184.2215,1,1
SH_A22: 276.4054,-257.5831,123.3787,-287.2213,2,1
SH_C12: 470.1323,-200.0169,231.586,-252.5222,2,1
SH_A23: 785.4055,-108.5831,591.3786,-265.2213,1,1
SH_A09: 827.4055,-7.582944,751.3786,-292.2213,2,1
SH_A08: 973.4056,-8.582914,912.3786,-255.2213,2,1
SH_E02: 39.40524,-486.5831,-410.6214,-853.2214,0,1
SH_S08: -272.9255,-591.9188,-412.4479,-970.048,0,0
SH_B12: 494.4058,-366.5831,149.3788,-810.2214,0,0
SH_S09: 643.5258,-443.7872,276.6117,-817.3108,0,0
SH_E03: 949.4055,-234.5832,301.3786,-685.2214,0,2
SH_E01: 1716.406,-235.5832,865.3786,-683.2214,0,2
SH_H01: 3206.245,-173.6717,1716.5,-514.7012,0,2
SH_E04: 2496.245,-236.6714,1451.5,-676.7015,0,2
SH_D03: 3673.408,-58.58304,2172.379,-413.2216,0,2
